p.value,FDR,summary.logFC,external_gene_name,comparison,Prog,HSPC,LT_HSC
8.095e-17,9.855e-16,1.906,Ssr1,prog_lthsc,9.208,7.919,7.303
9.612e-13,6.901e-12,1.87,Gdf3,prog_lthsc,3.996,1.659,2.125
1.599e-50,2.984e-49,1.83,Rpn1,prog_hspc,8.56,6.73,6.435
2.626e-11,1.634e-10,-1.825,Jam3,prog_lthsc,0.3358,1.182,2.161
5.701e-10,8.868e-09,1.781,Prnp,lthsc_hspc,1.488,0.9789,2.76
3.69e-11,6.888e-10,-1.761,Sell,lthsc_hspc,5.11,4.752,2.991
2.743e-25,1.889e-24,1.759,Cd48,prog_hspc,6.681,4.922,2.85
2.943e-39,3.17e-38,-1.756,Ptprc,prog_hspc,6.236,7.992,6.964
2.315e-40,2.701e-39,1.746,Gp5,prog_hspc,3.199,1.454,1.706
2.212e-12,1.548e-11,1.734,Rpn2,prog_lthsc,9.075,7.912,7.341
7.056e-10,3.528e-09,1.727,Slc29a1,prog_lthsc,6.252,5.251,4.525
1.445e-15,8.095e-14,-1.705,Cd27,lthsc_hspc,7.182,9.328,7.623
4.858e-09,6.183e-08,-1.704,Rnf13,lthsc_hspc,4.318,5.667,3.963
1.632e-09,2.284e-08,-1.702,Cd93,lthsc_hspc,5.054,6.704,5.003
4.324e-11,2.632e-10,-1.699,Gabbr1,prog_lthsc,0.8023,2.27,2.501
4.601e-11,2.741e-10,1.698,Atp1b3,prog_lthsc,7.941,6.734,6.243
6.077e-10,3.094e-09,1.694,Il17ra,prog_lthsc,6.15,5.905,4.456
2.148e-28,1.671e-27,1.693,Nptn,prog_hspc,6.028,4.335,4.685
2.907e-08,1.272e-07,-1.679,Mfge8,prog_lthsc,3.327,4.971,5.006
2.465e-34,2.38e-33,-1.663,H2-Aa,prog_hspc,0.6245,2.288,3.302
1.796e-28,1.437e-27,-1.658,Il1r1,prog_hspc,1.266,2.924,0.9805
3.72e-29,3.063e-28,-1.653,Notch1,prog_hspc,1.864,3.517,2.856
1.163e-11,2.505e-10,-1.652,Panx1,lthsc_hspc,2.945,3.293,1.641
3.15e-40,3.529e-39,1.65,Cnr2,prog_hspc,2.316,0.6658,0.7476
8.78e-24,5.587e-23,-1.65,Cd93,prog_hspc,5.054,6.704,5.003
1.853e-21,1.059e-20,-1.644,Mfge8,prog_hspc,3.327,4.971,5.006
1.536e-10,8.271e-10,-1.642,Npr2,prog_lthsc,0.3504,1.02,1.993
7.747e-13,5.708e-12,1.64,Slco3a1,prog_lthsc,3.525,3.919,1.885
5.606e-26,4.025e-25,-1.637,Cd63,prog_hspc,4.898,6.535,7.059
1.487e-10,8.162e-10,-1.625,Cpxm1,prog_lthsc,0.5443,1.223,2.169
3.924e-07,3.663e-06,1.606,Fcgrt,lthsc_hspc,0.5343,1.724,3.33
8.345e-31,7.538e-30,-1.604,Alcam,prog_hspc,1.257,2.861,2.519
7.038e-117,1.971e-114,1.597,Ybx1,prog_hspc,10.31,8.717,7.944
9.761e-20,2.102e-18,1.586,Fcgr2b,prog_lthsc,2.698,1.707,1.112
5.246e-07,4.738e-06,1.578,F11r,lthsc_hspc,0.7893,2.886,4.463
5.706e-19,1.065e-17,1.568,Cnr2,prog_lthsc,2.316,0.6658,0.7476
6.285e-25,4.19e-24,1.558,Ostm1,prog_hspc,3.801,2.243,2.801
9.204e-17,1.074e-15,-1.551,Adgrg1,prog_lthsc,8.69,10.03,10.24
1.23e-11,8.203e-11,1.542,Atrn,prog_lthsc,3.417,2.396,1.874
1.254e-08,1.463e-07,-1.508,Cd44,lthsc_hspc,7.713,7.152,5.643
1.103e-08,5.065e-08,1.496,Ptprs,prog_lthsc,4.901,3.938,3.405
3.375e-14,2.953e-13,1.493,Gp5,prog_lthsc,3.199,1.454,1.706
2.686e-28,2.033e-27,1.486,Itga5,prog_hspc,4.502,3.016,3.732
7.828e-21,7.306e-19,-1.479,Cd244a,lthsc_hspc,1.444,2.021,0.5415
2.633e-10,1.391e-09,1.478,Col5a1,prog_lthsc,2.815,0.7741,1.337
8.593e-30,7.519e-29,-1.467,Gabbr1,prog_hspc,0.8023,2.27,2.501
8.391e-22,4.895e-21,-1.467,Il4ra,prog_hspc,1.864,3.331,2.628
1.074e-12,3.007e-11,-1.457,Clec12a,lthsc_hspc,3.776,2.928,1.472
1.195e-07,1.287e-06,-1.45,Il17ra,lthsc_hspc,6.15,5.905,4.456
2.44e-12,5.694e-11,-1.408,Itgal,lthsc_hspc,3.524,2.894,1.486
9.082e-12,6.203e-11,1.407,Emid1,prog_lthsc,2.656,2.638,1.25
5.129e-11,8.975e-10,-1.389,Emid1,lthsc_hspc,2.656,2.638,1.25
8.494e-10,4.172e-09,1.386,Adgrl2,prog_lthsc,3.187,1.957,1.802
4.064e-09,1.962e-08,-1.379,Cd79a,prog_lthsc,0.2699,0.4602,1.649
1.431e-06,1.252e-05,1.35,Fstl1,lthsc_hspc,0.6475,1.904,3.255
2.667e-15,1.185e-14,-1.349,Rnf13,prog_hspc,4.318,5.667,3.963
5.228e-07,2.063e-06,1.343,Nptn,prog_lthsc,6.028,4.335,4.685
8.7e-41,1.16e-39,-1.338,Adgrg1,prog_hspc,8.69,10.03,10.24
4.178e-09,1.983e-08,-1.335,Eng,prog_lthsc,6.691,7.009,8.026
1.324e-10,7.414e-10,-1.314,Psap,prog_lthsc,6.633,7.834,7.947
3.48e-06,1.299e-05,1.309,Sppl2a,prog_lthsc,5.993,4.924,4.684
2.315e-08,1.029e-07,1.305,Panx1,prog_lthsc,2.945,3.293,1.641
4.393e-38,4.556e-37,1.289,Ssr1,prog_hspc,9.208,7.919,7.303
4.296e-06,1.562e-05,-1.276,Calcrl,prog_lthsc,2.833,5.306,4.11
7.399e-06,2.622e-05,-1.271,Prnp,prog_lthsc,1.488,0.9789,2.76
2.766e-25,1.889e-24,-1.266,Nrxn1,prog_hspc,3.28,4.546,3.443
2.979e-07,1.253e-06,-1.262,Alcam,prog_lthsc,1.257,2.861,2.519
1.231e-29,1.044e-28,-1.257,Fstl1,prog_hspc,0.6475,1.904,3.255
1.994e-16,9.151e-16,-1.253,Icam1,prog_hspc,1.559,2.812,3.838
5.349e-19,2.675e-18,1.23,Adgrl2,prog_hspc,3.187,1.957,1.802
1.61e-08,7.27e-08,1.23,Sort1,prog_lthsc,2.656,2.534,1.426
5.962e-06,4.637e-05,-1.229,Tbxa2r,lthsc_hspc,0.9961,3.115,1.886
6.256e-08,2.695e-07,-1.228,Jam2,prog_lthsc,0.282,0.4723,1.51
4.391e-16,1.983e-15,-1.227,Tnfrsf26,prog_hspc,1.197,2.423,2.133
1.121e-05,3.783e-05,1.226,Tmx3,prog_lthsc,4.424,3.716,3.198
7.969e-06,2.755e-05,-1.213,Cd274,prog_lthsc,1.23,2.179,2.443
9.387e-21,5.257e-20,1.207,Atp1b3,prog_hspc,7.941,6.734,6.243
2.062e-23,1.283e-22,-1.201,Psap,prog_hspc,6.633,7.834,7.947
6.429e-22,3.83e-21,-1.196,Sgce,prog_hspc,0.874,2.07,2.782
2.289e-05,0.0001603,-1.196,Calcrl,lthsc_hspc,2.833,5.306,4.11
4.757e-23,2.896e-22,-1.19,Fcgrt,prog_hspc,0.5343,1.724,3.33
3.903e-07,3.663e-06,1.189,Cd79a,lthsc_hspc,0.2699,0.4602,1.649
1.214e-16,1.359e-15,1.185,Pdgfrb,prog_lthsc,1.632,1.271,0.4478
7.216e-11,4.209e-10,1.185,Bsg,prog_lthsc,9.095,8.079,7.909
3.247e-20,1.749e-19,-1.183,Lag3,prog_hspc,0.8444,2.027,1.383
4.298e-05,0.0001267,-1.179,Il27ra,prog_lthsc,1.841,2.814,3.02
1.683e-12,6.457e-12,1.172,Plxnc1,prog_hspc,4.834,3.662,4.356
2.514e-05,7.999e-05,1.172,Copb1,prog_lthsc,6.025,5.476,4.853
6.849e-09,3.196e-08,1.169,Vdac1,prog_lthsc,8.681,7.543,7.512
6.139e-27,4.524e-26,1.162,Rpn2,prog_hspc,9.075,7.912,7.341
3.995e-05,0.0002664,-1.153,Anxa2,lthsc_hspc,4.145,4.419,3.266
2.156e-07,2.236e-06,-1.151,Milr1,lthsc_hspc,2.57,2.82,1.669
9.85e-06,7.258e-05,-1.148,Pecam1,lthsc_hspc,3.936,4.034,2.886
7.884e-05,0.0004906,1.139,Mpzl1,lthsc_hspc,0.7128,1.521,2.66
1.38e-24,8.986e-24,1.138,Vdac1,prog_hspc,8.681,7.543,7.512
2.115e-05,6.886e-05,-1.128,Cd200r1,prog_lthsc,0.7966,1.699,1.925
7.992e-14,3.497e-13,1.116,Adam17,prog_hspc,5.2,4.084,3.157
3.608e-07,3.608e-06,-1.108,Sort1,lthsc_hspc,2.656,2.534,1.426
8.459e-08,9.475e-07,-1.103,Nrxn1,lthsc_hspc,3.28,4.546,3.443
4.397e-15,1.539e-13,-1.102,Cd33,lthsc_hspc,0.5118,1.48,0.3779
1.98e-05,6.521e-05,-1.091,Ldlr,prog_lthsc,3.011,3.411,4.103
5.441e-07,2.116e-06,-1.087,Islr,prog_lthsc,0.1724,0.646,1.259
3.963e-07,1.608e-06,-1.078,Cdcp1,prog_lthsc,0.2789,0.9158,1.357
2.472e-05,7.955e-05,-1.075,Ece1,prog_lthsc,2.584,3.377,3.658
2.079e-12,7.866e-12,1.069,Sppl2a,prog_hspc,5.993,4.924,4.684
3.801e-20,2.008e-19,1.061,Plpp1,prog_hspc,1.777,0.7164,1.241
3.833e-12,1.394e-11,-1.054,Slc2a1,prog_hspc,1.604,2.658,3.512
8.252e-14,3.555e-13,-1.053,H2-DMa,prog_hspc,6.422,7.475,5.427
3.763e-05,0.0001121,1.05,Pecam1,prog_lthsc,3.936,4.034,2.886
5.205e-06,4.164e-05,1.038,Jam2,lthsc_hspc,0.282,0.4723,1.51
2.036e-05,0.0001462,-1.028,Ptprc,lthsc_hspc,6.236,7.992,6.964
0.0008229,0.004043,1.026,Icam1,lthsc_hspc,1.559,2.812,3.838
7.117e-12,2.491e-11,1.021,Atrn,prog_hspc,3.417,2.396,1.874
7.699e-06,5.826e-05,1.017,Eng,lthsc_hspc,6.691,7.009,8.026
8.025e-33,7.49e-32,1.015,Bsg,prog_hspc,9.095,8.079,7.909
5.614e-05,0.0003656,1.006,Slamf1,lthsc_hspc,1.156,0.8908,1.897
4.153e-13,3.23e-12,1.004,Csf1r,prog_lthsc,2.113,1.703,1.109
2.668e-11,8.894e-11,1.001,Slc29a1,prog_hspc,6.252,5.251,4.525
0.0002931,0.0007743,1.001,Ostm1,prog_lthsc,3.801,2.243,2.801
3.472e-09,1.023e-08,-1,Cd79b,prog_hspc,2.717,3.718,3.631
